split,index
train,692247
train,175624
train,738327
train,971269
test,1007355
train,643723
train,1084761
train,129086
train,1365998
train,521600
train,1153701
train,592984
train,1189164
train,1184963
train,785804
test,1145235
train,225087
train,1090130
train,1205608
train,1245501
train,810650
train,1154869
train,1037176
train,1236641
train,988881
train,829080
train,175745
train,1133177
train,612353
train,891604
train,1366348
train,607923
train,1187299
train,1267085
train,378364
train,737401
train,649213
train,52804
train,726784
train,1167822
train,1243407
train,1358656
train,1274669
train,1352240
train,908987
train,1100050
train,71005
train,1255192
train,927417
train,1277823
train,353639
test,356019
train,907940
train,626474
train,899309
train,613642
train,972679
train,651320
train,1046049
train,1325300
train,1323085
train,1325529
train,518809
train,321330
train,949001
train,591950
train,988894
test,1268310
train,978048
train,1370791
train,1087110
train,809845
train,1005109
train,1082909
train,85355
train,1127003
train,1364146
train,826289
train,828275
train,626595
train,1340468
test,1139182
train,970585
train,1048156
train,1394590
train,397036
train,1152788
train,476593
train,946907
test,1383909
train,1095862
train,1093647
train,1290897
train,654595
train,608286
train,883336
train,606071
train,5461
train,839013
train,1271649
train,1147540
train,134939
train,607468
train,1001968
train,1394482
train,1377220
train,337787
train,377680
train,1120829
train,1242494
train,725871
train,1318079
train,1351556
train,988089
train,507158
train,1141245
train,899672
train,1334294
train,1292186
test,656278
train,494097
train,531775
train,477064
train,1386201
train,1295340
train,171920
train,409063
train,1320415
train,765885
train,1112319
train,1313770
train,1189890
train,1067996
train,744422
train,1294522
train,420848
train,893377
train,920209
train,323800
train,1144749
train,151167
train,663589
train,1395892
train,910531
train,433801
train,1301059
train,70334
train,504956
train,490138
train,649710
train,884867
train,962438
train,918344
train,1124225
train,363814
train,1159917
train,1348536
train,80133
train,195611
train,867605
train,1106963
train,1270736
train,703603
test,1271130
train,1133795
train,1287180
train,127839
train,407090
train,520353
test,1200914
train,1234226
train,1349704
test,1358500
train,1343288
train,1101715
train,72670
train,425520
train,624985
train,893390
train,450137
train,490030
train,605508
train,756678
train,1078037
train,1199702
